code,term
10335000,Chronic right-sided heart failure
10633002,Acute congestive heart failure
111283005,Chronic left-sided heart failure
128404006,Right heart failure
153941000119100,Chronic combined systolic and diastolic heart failure
16838951000119100,Acute on chronic right-sided congestive heart failure
195111005,Decompensated cardiac failure
195112003,Compensated cardiac failure
195114002,Acute left ventricular failure
233924009,Heart failure as a complication of care
314206003,Refractory heart failure
367363000,Right ventricular failure
420300004,New York Heart Association Classification - Class I
420913000,New York Heart Association Classification - Class III
421704003,New York Heart Association Classification - Class II
422293003,New York Heart Association Classification - Class IV
42343007,Congestive heart failure
426611007,Congestive heart failure due to valvular disease
43736008,Rheumatic left ventricular failure
441481004,Chronic systolic heart failure
441530006,Chronic diastolic heart failure
446221000,Heart failure with normal ejection fraction
48447003,Chronic heart failure
5375005,Chronic left-sided congestive heart failure
56675007,Acute heart failure
66989003,Chronic right-sided congestive heart failure
703272007,Heart failure with reduced ejection fraction
788950000,Heart failure with mid range ejection fraction
84114007,Heart failure
85232009,Left heart failure
871617000,Low output heart failure due to and following Fontan operation
88805009,Chronic congestive heart failure
92506005,Biventricular congestive heart failure
